"index","names","aic"
"1","US1COAR0201",60.6663567591719
"1","US1MOCR0028",60.6715281243167
"1","US1NMBR0081",60.8699794411078
"1","US1ORLA0006",60.8980931031803
"1","US1COAR0231",61.1089165437813
"1","US1RINW0009",61.2751508901727
"1","US1CHARM200",61.563892286284
"1","US1OHER0016",61.778270792714
"1","US1NYMR0004",61.8067002508982
"1","US1INWR0006",62.1747074600852
"1","US1WIRC0013",62.3221801401911
"1","US1CASR0018",62.3272763232788
"1","US1KSRN0050",62.3529110559913
"1","US1COLR0019",62.4610064384265
"1","US1COLR0170",62.5215308187824
"1","US1INGR0016",62.6148536356757
"1","US1COLR0368",62.6513647784216
"1","US1CASR0079",62.7748842930605
"1","US1SDHR0014",62.8156185463819
"1","US1WAPR0012",62.9486106119473
"1","US1ARBX0039",62.9849255109581
"1","US1NMBR0308",63.1293861842337
"1","US1ILRI0021",63.1368045813377
"1","US1COLR0491",63.2351197929527
"1","US1NMBR0299",63.3452736836009
"1","US1COAR0063",63.3889811271747
"1","US1OHDR0026",63.509665231492
"1","US1TXCMR120",63.5231154828739
"1","US1ORWS0053",63.5362293980305
"1","US1CORB0020",63.6540127833611
