"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00297191","1987-01-08","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","T,,0","    0","T,,0","   -6",",,0","  -72",",,0",,,,,"  -56",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-09","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","    0","T,,0","    0",",,0"," -133",",,0",,,,,"  -50",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-10","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","   67",",,0"," -183",",,0",,,,,"  -44",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-11","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0",",,0","  117",",,0"," -156",",,0",,,,,"  -39",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-12","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  133",",,0"," -156",",,0",,,,,"   17",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-13","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  139",",,0"," -100",",,0",,,,,"  -22",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-14","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  100",",,0"," -117",",,0",,,,,"   11",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-15","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","   44",",,0","  -17",",,0",,,,,"    6",",,0,1800",,,,,,,,,,,"    1",",,0"
"USC00297191","1987-01-16","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","  114",",,0,1800","  188",",,0","  178",",,0","    6",",,0","  -83",",,0",,,,,"  -83",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-17","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   53",",,0,1800","   38",",,0","  203",",,0","  -83",",,0"," -161",",,0",,,,," -133",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-18","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   51",",,0,1800","   13",",,0","  152",",,0","  -67",",,0"," -178",",,0",,,,," -178",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-19","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","T,,0","  127",",,0","   28",",,0"," -222",",,0",,,,,"  -67",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-20","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0",",,0","  127",",,0","  -11",",,0"," -128",",,0",,,,," -122",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-21","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","  127",",,0","  -22",",,0"," -189",",,0",,,,," -139",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-22","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","  127",",,0","   67",",,0"," -222",",,0",,,,,"  -61",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-23","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","  127",",,0","   94",",,0"," -139",",,0",,,,,"   17",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-24","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","  102",",,0","   22",",,0","  -83",",,0",,,,,"  -44",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-25","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","  102",",,0","   72",",,0"," -150",",,0",,,,,"  -22",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-26","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","   76",",,0","  133",",,0"," -122",",,0",,,,,"    6",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-27","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","   51",",,0","  150",",,0"," -100",",,0",,,,,"   44",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-28","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","   25",",,0","  106",",,0","   -6",",,0",,,,,"   61",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-29","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","  117",",,0","  -78",",,0",,,,,"   67",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-30","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  133",",,0","  -50",",,0",,,,,"   33",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-01-31","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US",,,"    0","P,,0","    0","P,,0",,,,,,,,,,,,,,,,,,,,,,
"USC00297191","1987-02-01","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US",,,,,"    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00297191","1987-02-04","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   69",",,0,1800","  127",",,0","  127",",,0",,,,,,,,,"   -6",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-05","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0",",,0","   76",",,0","   56",",,0","  -33",",,0",,,,,"    0",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-06","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","   89",",,0"," -100",",,0",,,,,"   33",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-07","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0",",,0","  117",",,0","  -94",",,0",,,,,"   11",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-08","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  128",",,0","  -83",",,0",,,,,"   56",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-09","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  117",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,
"USC00297191","1987-02-10","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0",,,"  -44",",,0",,,,,"  -22",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-11","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  128",",,0","  -44",",,0",,,,,"   67",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-12","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   28",",,0,1800","    0","P,,0","    0","P,,0","  122",",,0","  -44",",,0",,,,,"   11",",,0,1800",,,"    1",",,0","    1",",,0","    1",",,0",,,,
"USC00297191","1987-02-13","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","P,,0","  122",",,0","  -67",",,0",,,,,"   67",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-14","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   23",",,0,1800","   25",",,0","   25",",,0","   67",",,0","  -39",",,0",,,,,"   -6",",,0,1800",,,,,"    1",",,0","    1",",,0",,,,
"USC00297191","1987-02-15","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0",",,0","    0",",,0","   78",",,0"," -117",",,0",,,,,"   39",",,0,1800",,,,,"    1",",,0","    1",",,0",,,,
"USC00297191","1987-02-16","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   38",",,0,1800","   25",",,0","   25",",,0","   39",",,0","  -39",",,0",,,,,"  -28",",,0,1800",,,,,"    1",",,0",,,,,,
"USC00297191","1987-02-17","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","P,,0","    0",",,0","   28",",,0","  -44",",,0",,,,,"  -17",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-18","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","P,,0","    0",",,0","   33",",,0","  -72",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-19","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   66",",,0,1800","   64",",,0","   51",",,0","    0",",,0","  -72",",,0",,,,,"  -44",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-20","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    8",",,0,1800","    0",",,0","   51",",,0","   11",",,0","  -83",",,0",,,,,"  -56",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-21","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0",",,0","   25",",,0","    0",",,0"," -178",",,0",,,,,"  -50",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-22","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0",",,0","   25",",,0","   44",",,0"," -156",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-23","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","P,,0","    0","P,,0","   17",",,0","  -94",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-24","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   18",",,0,1800","   25",",,0","   25",",,0","   28",",,0","  -44",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
"USC00297191","1987-02-25","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","  168",",,0,1800","  191",",,0","  203",",,0","   11",",,0","  -61",",,0",,,,,"  -28",",,0,1800",,,,,,,,,,,,
